fixture_id,a_home,a_away
571788,-3.583472,-4.3106527
571789,-4.10574,-4.787423
571790,-4.3576484,-4.8246737
571791,-4.6072435,-3.4133492
571792,-4.274421,-4.372104
571793,-4.1768117,-4.3628306
571794,-4.754732,-3.7441998
571795,-4.6801553,-3.8499308
571796,-4.2034535,-4.3636546
571797,-3.8758237,-4.0944185
571798,-3.7156053,-4.3131027
571799,-4.365915,-4.359371
571800,-4.5537653,-3.8607836
571801,-4.4501863,-4.7064877
571802,-3.8475804,-4.0685453
571803,-3.4138188,-4.387887
571804,-3.914326,-4.6397734
571805,-4.933417,-4.1623354
571806,-4.680649,-3.5719533
571807,-3.6837976,-4.4372344
571808,-4.2757745,-4.1624837
571809,-3.3200443,-4.7446113
571810,-4.4896526,-3.7998831
571811,-4.209,-4.1361885
571812,-4.027245,-4.477834
571813,-4.269305,-3.5970356
571814,-4.225266,-3.779468
571815,-4.6322794,-4.29556
571816,-3.9781673,-4.5947905
571817,-3.9908147,-4.5226436
571818,-4.1114902,-4.2179804
571819,-4.334201,-4.215155
571820,-3.9951434,-4.0163035
571821,-3.6821964,-4.609959
571822,-4.471688,-3.876736
571823,-3.4705768,-4.3697414
571824,-4.5802956,-3.9101315
571825,-3.5547636,-4.8783813
571826,-3.7065203,-4.5094
571827,-3.7772572,-4.2225947
571828,-4.4097486,-4.2857003
571829,-4.31017,-4.2275586
571830,-4.7855353,-4.018506
571831,-4.028438,-3.926497
571832,-3.9633849,-4.2670527
571833,-4.2818294,-4.7230706
571834,-4.8353143,-3.5471003
571835,-3.8029149,-4.4904513
571836,-3.65145,-4.3511033
571837,-4.0447817,-4.3013864
571838,-4.2400346,-3.2640896
571839,-4.298163,-4.1791854
571840,-4.534461,-4.40122
571841,-3.4915116,-4.8512216
571842,-3.9016232,-3.8063743
571843,-4.590051,-4.4649262
571844,-4.617238,-3.776916
571845,-4.533451,-3.824783
571846,-4.467426,-4.3694887
571847,-4.1285286,-4.3360243
571848,-4.500813,-4.447308
571849,-3.6757486,-4.7370815
571850,-4.2044945,-4.09683
571851,-4.1622195,-4.4674845
587176,-2.976352,-4.5904703
587177,-3.8312821,-4.588278
587178,-3.7969124,-4.393815
587179,-4.46036,-4.582811
587180,-4.2720017,-4.378148
587181,-4.282966,-3.9737933
587182,-4.1396465,-3.999497
587183,-4.2877717,-3.760446
587184,-4.1167364,-3.910274
587185,-4.2530813,-4.388271
587186,-4.2699842,-4.38261
587187,-3.6747203,-4.417392
587188,-4.252882,-4.3883023
587189,-4.2911744,-3.9257016
587190,-4.312593,-3.974813
587191,-4.23698,-3.8423355
587192,-4.0181813,-4.587923
587193,-4.258203,-4.5842295
587194,-3.3657887,-3.9987211
587195,-3.315731,-4.9085693
587196,-3.160221,-5.162408
587197,-4.71604,-4.8461776
587198,-3.9544942,-4.361999
587199,-3.313373,-4.9914327
587200,-4.3485165,-3.635629
587201,-4.3436007,-4.728939
587202,-4.1512527,-4.2743163
587203,-4.107917,-4.5234704
587204,-4.8850894,-4.052036
587205,-4.380793,-4.391889
587206,-4.614457,-3.7664657
587207,-4.6121492,-4.1275964
587208,-5.0253153,-4.109816
587209,-4.4095297,-4.0722013
587210,-5.0626154,-3.694932
587211,-4.65022,-3.1647015
587212,-2.9744744,-4.7129426
587213,-3.4320655,-5.428752
587214,-3.7864146,-4.5776677
587215,-3.6689942,-4.9165564
587216,-3.9055269,-4.6001205
587217,-4.1209354,-4.3292394
587218,-4.3912687,-3.6767507
587219,-4.3960977,-4.249303
587220,-4.042311,-4.516335
587221,-4.2734275,-4.341871
587222,-4.2222395,-4.0041203
587223,-4.2696657,-3.4952755
587224,-4.0981903,-4.5297494
587225,-4.3491673,-4.23365
587226,-4.647251,-4.113309
587227,-4.5757155,-3.551078
587228,-3.926702,-4.5242233
587229,-5.072841,-3.6873598
587230,-4.0095396,-3.8441966
587231,-3.5243456,-4.966515
587232,-3.6508508,-3.979254
587233,-3.8957672,-4.4617505
587234,-3.246624,-4.9206214
587235,-4.0098886,-4.186395
587236,-4.6192746,-3.8352985
587237,-4.4489384,-4.4926605
587238,-3.919963,-4.166617
587239,-3.8196957,-4.639609
587240,-3.938518,-4.6346545
587241,-3.7848475,-3.9688716
587242,-4.241682,-3.7982142
587243,-4.3255067,-4.0253444
587244,-4.313471,-3.2108812
587245,-4.7709436,-3.7409039
587246,-4.515651,-3.932684
587247,-4.6408515,-3.754418
587248,-3.90295,-4.3825755
587249,-3.6142447,-4.89592
587250,-3.362843,-4.4692492
587251,-4.1404176,-4.768939
587252,-3.4957726,-4.263997
587253,-3.744758,-4.014773
587254,-4.292143,-4.1697197
587255,-4.2995496,-4.2058496
587256,-4.396305,-3.5741065
587257,-3.7209847,-3.855262
587258,-3.5961618,-4.389255
587259,-4.222038,-3.8851674
587260,-4.489719,-3.9643514
587261,-4.0983853,-4.07683
587262,-4.8684564,-3.4475505
587263,-4.1657934,-4.0050716
587264,-4.340792,-3.94549
587265,-4.142033,-4.374788
587266,-3.9231112,-3.5431976
587267,-3.728907,-4.7411976
587268,-4.1096244,-4.3369994
587269,-3.4743245,-4.319308
587270,-3.8792028,-4.3142023
587271,-3.9086149,-4.943734
587272,-4.2748046,-4.111427
587273,-4.459594,-4.5215244
587274,-3.8146524,-4.185656
587275,-3.8663778,-4.207473
587276,-4.4933624,-4.1426234
587277,-3.9009893,-3.8331585
587278,-4.387177,-4.633922
587279,-4.5743437,-3.8767667
587280,-4.945125,-3.363808
587281,-4.52572,-3.8655953
587282,-4.5855646,-4.3121533
587283,-4.024012,-4.040977
587284,-4.248516,-4.9757752
587285,-3.9653642,-4.232478
587286,-4.083224,-4.2279296
587287,-3.9652846,-4.5498486
587288,-3.517053,-4.4292154
587289,-4.2865977,-4.085989
587290,-4.5220876,-4.3569813
587291,-4.347993,-4.542077
587292,-4.4936676,-4.3123927
587293,-3.3464272,-4.3061767
587294,-3.8936844,-4.5917325
587295,-4.24957,-3.745477
587296,-4.195167,-4.0364127
587297,-3.5547404,-4.768147
587298,-4.6777916,-4.4824204
587299,-4.4561462,-4.14183
587300,-4.621861,-4.076534
587301,-4.530553,-4.1942124
587302,-4.276918,-3.9437826
587303,-3.7870805,-3.9122658
587304,-4.0289965,-4.5617437
587305,-3.2594867,-4.952724
587306,-4.218187,-3.9325364
587307,-3.712469,-4.3213162
587308,-4.5380855,-4.06625
587309,-4.3840356,-3.6448684
587310,-4.4235735,-4.497567
587311,-3.7407832,-4.36073
587312,-3.845046,-4.6624937
587313,-4.3577685,-4.6924467
587314,-4.2005286,-3.9808679
587315,-3.8547173,-4.4672003
587316,-4.422276,-4.3005304
587317,-4.6688046,-4.4085116
587318,-4.0455966,-4.7886796
587319,-4.101059,-4.0621333
587320,-4.0230503,-4.873988
587321,-4.1291914,-4.6302247
587322,-4.01386,-4.3347764
587323,-4.0928006,-3.9445226
587324,-4.5138984,-3.8156536
587325,-4.401913,-4.322435
587326,-4.710659,-3.8409493
587327,-4.8187275,-3.8945231
587328,-3.9004877,-4.521401
